Address:,USB0::0x0957::0x179B::MY54313421::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,0.0010075520125,35.6783975288272,-0.435678387293592,
,,,0.001008072845,35.4773924723268,-0.399195975624025,
,,,0.0010085936775,34.9246285669506,-0.385929644107819,
,,,0.00100911451,34.4221159256995,-0.373266327660531,
,,,0.0010096353425,34.0201058126986,-0.400100498227403,
,,,0.001010156175,33.718598227948,-0.402512558503076,
,,,0.0010106770075,33.1155830584466,-0.347638187231496,
,,,0.00101119784,32.7638242095709,-0.404321603709832,
,,,0.0010117186725,32.2613115683198,-0.355778890661895,
,,,0.001012239505,31.5577938705683,-0.383216076297686,
,,,0.0010127603375,31.2562862858176,-0.376884418074042,
,,,0.00101328117,30.8542761728168,-0.368442207109183,
,,,0.0010138020025,30.502517323941,-0.393768840003759,
,,,0.001014322835,30.050255946815,-0.322914569405839,
,,,0.0010148436675,29.4974920414388,-0.40522612631321,
,,,0.0010153645,29.5477433055639,-0.319899494061247,
,,,0.0010158853325,28.7939743436873,-0.362110548885539,
,,,0.001016406165,28.2412104383111,-0.354874368058518,
,,,0.0010169269975,28.190959174186,-0.286130650201812,
,,,0.00101744783,27.3366876840591,-0.404020096175373,
,,,0.0010179686625,27.286436419934,-0.25567838922143,
,,,0.001018489495,26.9346775710583,-0.326834167353809,
,,,0.0010190103275,26.4321649298072,-0.363015071488917,
,,,0.00101953116,26.4824161939323,-0.286130650201812,
,,,0.0010200519925,25.9296522885561,-0.311457283096388,
,,,0.001020572825,25.7286472320557,-0.244824117980897,
,,,0.0010210936575,25.4773909114301,-0.289145725546405,
,,,0.00102161449,24.5728681571782,-0.368140699574724,
,,,0.0010221353225,24.4723656289279,-0.238190952222794,
,,,0.001022656155,24.3216118365526,-0.266532660461962,
,,,0.0010231769875,23.9196017235518,-0.293668338563293,
,,,0.00102369782,23.567842874676,-0.287939695408568,
,,,0.0010242186525,23.2663352899253,-0.276482409099117,
,,,0.001024739485,23.2160840258002,-0.27919597690925,
,,,0.0010252603175,22.8643251769245,-0.25175879127346,
,,,0.00102578115,22.4120637997985,-0.260201002238318,
,,,0.0010263019825,21.8090486302972,-0.311758790630847,
,,,0.001026822815,21.8592998944223,-0.214974872069433,
,,,0.0010273436475,21.2060334607959,-0.293366831028834,
,,,0.00102786448,20.8542746119201,-0.269849243341014,
,,,0.0010283853125,20.804023347795,-0.241809042636305,
,,,0.001028906145,20.2010081782937,-0.325929644750431,
,,,0.0010294269775,20.0000031217933,-0.195678389864042,
,,,0.00102994781,20.0502543859184,-0.243316580308601,
,,,0.0010304686425,19.2964854240417,-0.275879394030198,
,,,0.001030989475,19.2964854240417,-0.22010050015524,
,,,0.0010315103075,18.6934702545404,-0.218291454948485,
,,,0.00103203114,18.6432189904153,-0.241507535101846,
,,,0.0010325519725,18.4422139339149,-0.236381907016039,
,,,0.001033072805,18.1909576132894,-0.179095475468785,
,,,0.0010335936375,17.8391987644136,-0.203517585759982,
,,,0.00103411447,17.6381937079132,-0.219798992620781,
,,,0.0010346353025,17.5376911796629,-0.196281404932961,
,,,0.001035156135,16.9346760101616,-0.208040198776871,
,,,0.0010356769675,16.9849272742867,-0.187839193968102,
,,,0.0010361978,16.8844247460365,-0.213165826862678,
,,,0.0010367186325,16.633168425411,-0.218592962482944,
,,,0.001037239465,16.180907048285,-0.203517585759982,
,,,0.0010377602975,15.9799019917846,-0.181206028209999,
,,,0.00103828113,15.6783944070339,-0.2595979871694,
,,,0.0010388019625,15.3768868222833,-0.182713565882295,
,,,0.001039322795,15.2763842940331,-0.190552761778235,
,,,0.0010398436275,14.9246254451573,-0.238793967291713,
,,,0.00104036446,14.9246254451573,-0.166130651487038,
,,,0.0010408852925,14.7236203886569,-0.240301504964009,
,,,0.001041406125,14.4221128039062,-0.223115575499833,
,,,0.0010419269575,14.4723640680313,-0.130854269955307,
,,,0.00104244779,13.8190976344049,-0.211959796724841,
,,,0.0010429686225,13.7688463702798,-0.170954772038385,
,,,0.001043489455,13.6180925779045,-0.140502511058003,
,,,0.0010440102875,13.4673387855291,-0.163115576142445,
,,,0.00104453112,13.417087521404,-0.104924621991813,
,,,0.0010450519525,12.8643236160278,-0.218592962482944,
,,,0.001045572785,12.964826144278,-0.132964822696522,
,,,0.0010460936175,12.964826144278,-0.107939697336406,
,,,0.00104661445,12.2110571824014,-0.196884420001879,
,,,0.0010471352825,12.3115597106516,-0.133266330230981,
,,,0.001047656115,12.010052125901,-0.127537687076256,
,,,0.0010481769475,12.010052125901,-0.217386932345107,
,,,0.00104869778,11.8592983335257,-0.103115576785058,
,,,0.0010492186125,11.8592983335257,-0.138090450782329,
,,,0.001049739445,11.2562831640244,-0.21618090220727,
,,,0.0010502602775,11.4070369563997,-0.0946733658201993,
,,,0.00105078111,10.9547755792737,-0.250552761135623,
,,,0.0010513019425,11.1557806357741,-0.101909546647221,
,,,0.001051822775,10.7035192586482,-0.151055274764076,
,,,0.0010523436075,10.4020116738975,-0.201708540553227,
