# Press Shift+Enter to add data
# Press Ctrl+S to save

#T(°C)	Uh(mV)	Up(mV)

99.6	-23	898
99.9	-23	901
99.9	-23	901
99.9	-23	901
99.9	-23	901
99.9	-23	901
99.6	-23	904
99.6	-23	904
99.6	-23	904
99.6	-23	904
99.4	-23	906
99.4	-23	906
99.4	-23	906
99.4	-23	906
99.4	-23	906
99.6	-23	909
99.6	-23	909
99.6	-23	909
99.6	-23	909
99.6	-23	909
99.0	-23	911
99.0	-23	911
99.0	-23	911
99.0	-23	911
99.2	-23	913
99.2	-23	913
99.2	-23	913
99.2	-23	913
99.2	-23	913
98.8	-24	916
98.8	-24	916
98.8	-24	916
98.8	-24	916
98.8	-24	916
98.7	-24	918
98.7	-24	918
98.7	-24	918
98.7	-24	918
98.7	-24	918
98.6	-24	921
98.6	-24	921
98.6	-24	921
98.6	-24	921
98.5	-24	923
98.5	-24	923
98.5	-24	923
98.5	-24	923
98.5	-24	923
98.5	-24	925
98.5	-24	925
98.5	-24	925
98.5	-24	925
98.3	-24	928
98.3	-24	928
98.3	-24	928
98.3	-24	928
98.3	-24	928
98.2	-24	930
98.2	-24	930
98.2	-24	930
98.2	-24	930
98.2	-24	930
98.2	-24	933
98.2	-24	933
98.2	-24	933
98.2	-24	933
97.8	-24	936
97.8	-24	936
97.8	-24	936
97.8	-24	936
97.8	-24	936
97.7	-24	937
97.7	-24	937
97.7	-24	937
97.7	-24	937
97.7	-24	937
97.4	-24	941
97.4	-24	941
97.4	-24	941
97.4	-24	941
97.6	-24	943
97.6	-24	943
97.6	-24	943
97.6	-24	943
97.6	-24	943
97.6	-25	946
97.6	-25	946
97.6	-25	946
97.6	-25	946
97.6	-25	946
97.5	-25	947
97.5	-25	947
97.5	-25	947
97.5	-25	947
97.5	-25	947
97.5	-25	950
97.5	-25	950
97.5	-25	950
97.5	-25	950
97.2	-25	952
97.2	-25	952
97.2	-25	952
97.2	-25	952
96.9	-25	953
96.9	-25	953
96.9	-25	953
96.9	-25	953
96.9	-25	953
96.8	-25	956
96.8	-25	956
96.8	-25	956
96.8	-25	956
96.8	-25	956
96.9	-25	958
96.9	-25	958
96.9	-25	958
96.9	-25	958
96.6	-25	961
96.6	-25	961
96.6	-25	961
96.6	-25	961
96.6	-25	961
96.5	-25	964
96.5	-25	964
96.5	-25	964
96.5	-25	964
96.5	-25	964
96.4	-25	965
96.4	-25	965
96.4	-25	965
96.4	-25	965
96.4	-25	965
96.4	-25	968
96.4	-25	968
96.4	-25	968
96.4	-25	968
96.0	-25	970
96.0	-25	970
96.0	-25	970
96.0	-25	970
96.3	-26	973
96.3	-26	973
96.3	-26	973
96.3	-26	973
96.3	-26	973
96.0	-26	975
96.0	-26	975
96.0	-26	975
96.0	-26	975
95.7	-26	976
95.7	-26	976
95.7	-26	976
95.7	-26	976
95.7	-26	976
95.7	-26	980
95.7	-26	980
95.7	-26	980
95.7	-26	980
95.6	-26	981
95.6	-26	981
95.6	-26	981
95.6	-26	981
95.6	-26	981
95.6	-26	984
95.6	-26	984
95.6	-26	984
95.6	-26	984
95.6	-26	984
95.2	-26	986
95.2	-26	986
95.2	-26	986
95.2	-26	986
95.2	-26	989
95.2	-26	989
95.2	-26	989
95.2	-26	989
95.1	-26	990
95.1	-26	990
95.1	-26	990
95.1	-26	990
95.1	-26	990
95.2	-26	994
95.2	-26	994
95.2	-26	994
95.2	-26	994
95.0	-26	995
95.0	-26	995
95.0	-26	995
95.0	-26	995
95.0	-26	995
94.8	-26	998
94.8	-26	998
94.8	-26	998
94.8	-26	998
94.5	-27	999
94.5	-27	999
94.5	-27	999
94.5	-27	999
94.5	-27	999
94.3	-27	1001
94.3	-27	1001
94.3	-27	1001
94.3	-27	1001
94.3	-27	1001
94.6	-27	1004
94.6	-27	1004
94.6	-27	1004
94.6	-27	1004
94.6	-27	1004
94.3	-27	1006
94.3	-27	1006
94.3	-27	1006
94.3	-27	1006
94.0	-27	1008
94.0	-27	1008
94.0	-27	1008
94.0	-27	1008
94.0	-27	1008
94.3	-27	1011
94.3	-27	1011
94.3	-27	1011
94.3	-27	1011
93.9	-27	1014
93.9	-27	1014
93.9	-27	1014
93.9	-27	1014
93.9	-27	1014
93.8	-27	1015
93.8	-27	1015
93.8	-27	1015
93.8	-27	1015
93.8	-27	1017
93.8	-27	1017
93.8	-27	1017
93.8	-27	1017
93.8	-27	1017
93.6	-27	1019
93.6	-27	1019
93.6	-27	1019
93.6	-27	1019
93.6	-27	1019
93.4	-27	1022
93.4	-27	1022
93.4	-27	1022
93.4	-27	1022
93.4	-27	1022
93.4	-28	1025
93.4	-28	1025
93.4	-28	1025
93.4	-28	1025
93.2	-28	1026
93.2	-28	1026
93.2	-28	1026
93.2	-28	1026
93.2	-28	1026
93.3	-28	1028
93.3	-28	1028
93.3	-28	1028
93.3	-28	1028
93.0	-28	1031
93.0	-28	1031
93.0	-28	1031
93.0	-28	1031
93.0	-28	1031
93.1	-28	1034
93.1	-28	1034
93.1	-28	1034
93.1	-28	1034
93.1	-28	1034
92.8	-28	1035
92.8	-28	1035
92.8	-28	1035
92.8	-28	1035
92.4	-28	1037
92.4	-28	1037
92.4	-28	1037
92.4	-28	1037
92.4	-28	1037
92.7	-28	1040
92.7	-28	1040
92.7	-28	1040
92.7	-28	1040
