# Press Shift+Enter to add data
# Press Ctrl+S to save

T(°C)	Uh(mV)	Up(mV)
115.0	-2	825
115.0	-2	825
115.0	-2	825
115.2	-2	829
115.2	-2	829
115.2	-2	829
115.2	-2	829
115.2	-2	829
115.2	-2	833
115.2	-2	833
115.2	-2	833
115.2	-2	833
114.5	-2	835
114.5	-2	835
114.5	-2	835
114.5	-2	835
114.5	-2	835
114.6	-2	839
114.6	-2	839
114.6	-2	839
114.6	-2	839
114.9	-2	841
114.9	-2	841
114.9	-2	841
114.9	-2	841
114.9	-2	841
114.2	-2	844
114.2	-2	844
114.2	-2	844
114.2	-2	844
114.2	-2	844
113.8	-2	847
113.8	-2	847
113.8	-2	847
113.8	-2	847
114.7	-2	851
114.7	-2	851
114.7	-2	851
114.7	-2	851
114.7	-2	851
114.4	-2	853
114.4	-2	853
114.4	-2	853
114.4	-2	853
114.4	-2	853
113.9	-2	856
113.9	-2	856
113.9	-2	856
113.9	-2	856
113.9	-2	860
113.9	-2	860
113.9	-2	860
113.9	-2	860
113.9	-2	860
113.7	-2	863
113.7	-2	863
113.7	-2	863
113.7	-2	863
113.5	-1	866
113.5	-1	866
113.5	-1	866
113.5	-1	866
113.5	-1	866
113.4	-1	869
113.4	-1	869
113.4	-1	869
113.4	-1	869
113.4	-1	869
113.8	-1	872
113.8	-1	872
113.8	-1	872
113.8	-1	872
113.3	-1	874
113.3	-1	874
113.3	-1	874
113.3	-1	874
112.6	-1	877
112.6	-1	877
112.6	-1	877
112.6	-1	877
112.6	-1	877
112.6	-1	881
112.6	-1	881
112.6	-1	881
112.6	-1	881
112.6	-1	881
112.3	-1	883
112.3	-1	883
112.3	-1	883
112.3	-1	883
112.3	-1	883
112.7	-1	888
112.7	-1	888
112.7	-1	888
112.7	-1	888
112.7	-1	891
112.7	-1	891
112.7	-1	891
112.7	-1	891
112.7	-1	891
112.5	-1	893
112.5	-1	893
112.5	-1	893
112.5	-1	893
112.4	-1	897
112.4	-1	897
112.4	-1	897
112.4	-1	897
112.4	-1	897
112.3	-1	900
112.3	-1	900
112.3	-1	900
112.3	-1	900
112.4	-1	903
112.4	-1	903
112.4	-1	903
112.4	-1	903
112.4	-1	903
112.1	-1	906
112.1	-1	906
112.1	-1	906
112.1	-1	906
111.4	-1	909
111.4	-1	909
111.4	-1	909
111.4	-1	909
111.4	-1	909
111.2	-1	912
111.2	-1	912
111.2	-1	912
111.2	-1	912
111.2	-1	912
111.8	-1	916
111.8	-1	916
111.8	-1	916
111.8	-1	916
111.8	-1	916
111.5	-1	918
111.5	-1	918
111.5	-1	918
111.5	-1	918
111.3	-1	921
111.3	-1	921
111.3	-1	921
111.3	-1	921
111.3	-1	921
111.0	-1	925
111.0	-1	925
111.0	-1	925
111.0	-1	925
111.0	-1	928
111.0	-1	928
111.0	-1	928
111.0	-1	928
111.0	-1	928
111.1	-1	931
111.1	-1	931
111.1	-1	931
111.1	-1	931
111.1	-1	931
111.0	-1	934
111.0	-1	934
111.0	-1	934
111.0	-1	934
111.0	-1	934
110.6	0	938
110.6	0	938
110.6	0	938
110.6	0	938
110.5	0	942
110.5	0	942
110.5	0	942
110.5	0	942
110.5	0	942
110.4	0	944
110.4	0	944
110.4	0	944
110.4	0	944
110.4	0	944
110.4	0	948
110.4	0	948
110.4	0	948
110.4	0	948
110.1	0	951
110.1	0	951
110.1	0	951
110.1	0	951
110.2	0	954
110.2	0	954
110.2	0	954
110.2	0	954
110.2	0	954
110.1	0	958
110.1	0	958
110.1	0	958
110.1	0	958
110.1	0	958
109.9	0	961
109.9	0	961
109.9	0	961
109.9	0	961
109.8	0	964
109.8	0	964
109.8	0	964
109.8	0	964
109.8	0	964
109.5	0	967
109.5	0	967
109.5	0	967
109.5	0	967
109.4	0	969
109.4	0	969
109.4	0	969
109.4	0	969
109.4	0	969
109.4	0	973
109.4	0	973
109.4	0	973
109.4	0	973
109.2	0	976
109.2	0	976
109.2	0	976
109.2	0	976
109.0	0	980
109.0	0	980
109.0	0	980
109.0	0	980
109.0	0	980
109.1	0	984
109.1	0	984
109.1	0	984
109.1	0	984
108.9	0	986
108.9	0	986
108.9	0	986
108.9	0	986
108.9	0	986
108.8	0	990
108.8	0	990
108.8	0	990
108.8	0	990
108.7	0	993
108.7	0	993
108.7	0	993
108.7	0	993
108.7	0	993
108.6	1	996
108.6	1	996
108.6	1	996
108.6	1	996
108.6	1	996
108.5	1	1000
108.5	1	1000
108.5	1	1000
108.5	1	1000
108.5	1	1000
108.4	1	1003
108.4	1	1003
108.4	1	1003
108.4	1	1003
108.2	1	1006
108.2	1	1006
108.2	1	1006
108.2	1	1006
108.2	1	1006
108.2	1	1010
108.2	1	1010
108.2	1	1010
108.2	1	1010
108.3	1	1013
108.3	1	1013
108.3	1	1013
108.3	1	1013
108.3	1	1013
107.8	1	1016
107.8	1	1016
107.8	1	1016
107.8	1	1016
107.8	1	1016
107.6	1	1019
107.6	1	1019
107.6	1	1019
107.6	1	1019
107.6	1	1023
107.6	1	1023
107.6	1	1023
107.6	1	1023
107.6	1	1023
107.6	1	1026
107.6	1	1026
107.6	1	1026
