Pt Fmt,Y,,-2.77999993E-6,7.999999449E-3,,Pt Fmt,Y,,-2.77999993E-6,191.99998677E-3,,Pt Fmt,Y,,-2.77999993E-6,-79.999998212E-3,
Yzero,0.0,,-2.77000004E-6,15.9999989E-3,,Yzero,1.2501145,,-2.77000004E-6,191.99998677E-3,,Yzero,0.0,,-2.77000004E-6,79.999998212E-3,
Probe Atten,1.000000,,-2.75999992E-6,-7.999999449E-3,,Probe Atten,1.000000,,-2.75999992E-6,191.99998677E-3,,Probe Atten,1.000000,,-2.75999992E-6,-79.999998212E-3,
,,,-2.75000002E-6,7.999999449E-3,,,,,-2.75000002E-6,191.99998677E-3,,,,,-2.75000002E-6,-79.999998212E-3,
Note,TDS 2014B - 15:00:13   02/07/2025,,-2.74000013E-6,0.0,,Note,TDS 2014B - 15:00:13   02/07/2025,,-2.74000013E-6,191.99998677E-3,,Note,TDS 2014B - 15:00:13   02/07/2025,,-2.74000013E-6,159.99999642E-3,
,,,-2.73000001E-6,0.0,,,,,-2.73000001E-6,199.99998808E-3,,,,,-2.73000001E-6,-79.999998212E-3,
,,,-2.72000011E-6,0.0,,,,,-2.72000011E-6,183.99998546E-3,,,,,-2.72000011E-6,79.999998212E-3,
,,,-2.7100000E-6,0.0,,,,,-2.7100000E-6,199.99998808E-3,,,,,-2.7100000E-6,0.0,
,,,-2.7000001E-6,0.0,,,,,-2.7000001E-6,207.99998939E-3,,,,,-2.7000001E-6,79.999998212E-3,
,,,-2.6900000E-6,0.0,,,,,-2.6900000E-6,191.99998677E-3,,,,,-2.6900000E-6,0.0,
,,,-2.6800001E-6,0.0,,,,,-2.6800001E-6,191.99998677E-3,,,,,-2.6800001E-6,-79.999998212E-3,
,,,-2.6700000E-6,-7.999999449E-3,,,,,-2.6700000E-6,191.99998677E-3,,,,,-2.6700000E-6,79.999998212E-3,
,,,-2.6600001E-6,0.0,,,,,-2.6600001E-6,183.99998546E-3,,,,,-2.6600001E-6,0.0,
,,,-2.6499999E-6,0.0,,,,,-2.6499999E-6,199.99998808E-3,,,,,-2.6499999E-6,-79.999998212E-3,
,,,-2.6400000E-6,-7.999999449E-3,,,,,-2.6400000E-6,191.99998677E-3,,,,,-2.6400000E-6,79.999998212E-3,
,,,-2.6299999E-6,7.999999449E-3,,,,,-2.6299999E-6,191.99998677E-3,,,,,-2.6299999E-6,-79.999998212E-3,
,,,-2.6200000E-6,7.999999449E-3,,,,,-2.6200000E-6,199.99998808E-3,,,,,-2.6200000E-6,0.0,
,,,-2.6100001E-6,7.999999449E-3,,,,,-2.6100001E-6,207.99998939E-3,,,,,-2.6100001E-6,-79.999998212E-3,
,,,-2.6000000E-6,0.0,,,,,-2.6000000E-6,191.99998677E-3,,,,,-2.6000000E-6,0.0,
,,,-2.5900001E-6,0.0,,,,,-2.5900001E-6,199.99998808E-3,,,,,-2.5900001E-6,0.0,
,,,-2.5800000E-6,0.0,,,,,-2.5800000E-6,191.99998677E-3,,,,,-2.5800000E-6,0.0,
,,,-2.5700001E-6,0.0,,,,,-2.5700001E-6,191.99998677E-3,,,,,-2.5700001E-6,79.999998212E-3,
,,,-2.5600000E-6,0.0,,,,,-2.5600000E-6,191.99998677E-3,,,,,-2.5600000E-6,-79.999998212E-3,
,,,-2.5500001E-6,7.999999449E-3,,,,,-2.5500001E-6,191.99998677E-3,,,,,-2.5500001E-6,-159.99999642E-3,
,,,-2.5400000E-6,0.0,,,,,-2.5400000E-6,199.99998808E-3,,,,,-2.5400000E-6,0.0,
,,,-2.5300001E-6,0.0,,,,,-2.5300001E-6,191.99998677E-3,,,,,-2.5300001E-6,0.0,
,,,-2.5200000E-6,0.0,,,,,-2.5200000E-6,191.99998677E-3,,,,,-2.5200000E-6,79.999998212E-3,
,,,-2.5100001E-6,0.0,,,,,-2.5100001E-6,191.99998677E-3,,,,,-2.5100001E-6,0.0,
,,,-2.4999999E-6,0.0,,,,,-2.4999999E-6,191.99998677E-3,,,,,-2.4999999E-6,0.0,
,,,-2.4900000E-6,7.999999449E-3,,,,,-2.4900000E-6,199.99998808E-3,,,,,-2.4900000E-6,0.0,
,,,-2.4799999E-6,0.0,,,,,-2.4799999E-6,191.99998677E-3,,,,,-2.4799999E-6,0.0,
,,,-2.4700000E-6,0.0,,,,,-2.4700000E-6,191.99998677E-3,,,,,-2.4700000E-6,0.0,
,,,-2.4600001E-6,0.0,,,,,-2.4600001E-6,191.99998677E-3,,,,,-2.4600001E-6,-79.999998212E-3,
,,,-2.4500000E-6,7.999999449E-3,,,,,-2.4500000E-6,191.99998677E-3,,,,,-2.4500000E-6,79.999998212E-3,
,,,-2.4400001E-6,-7.999999449E-3,,,,,-2.4400001E-6,191.99998677E-3,,,,,-2.4400001E-6,0.0,
,,,-2.4300000E-6,0.0,,,,,-2.4300000E-6,191.99998677E-3,,,,,-2.4300000E-6,0.0,
,,,-2.4200001E-6,0.0,,,,,-2.4200001E-6,191.99998677E-3,,,,,-2.4200001E-6,0.0,
