,,,10.1480000E-6,0.0,,,,,10.1480000E-6,0.0,,,,,10.1480000E-6,-4.39999962,
,,,10.1520000E-6,7.999999449E-3,,,,,10.1520000E-6,0.0,,,,,10.1520000E-6,-4.59999990,
,,,10.1559999E-6,0.0,,,,,10.1559999E-6,0.0,,,,,10.1559999E-6,-4.39999962,
,,,10.1599999E-6,0.0,,,,,10.1599999E-6,0.0,,,,,10.1599999E-6,-4.79999971,
,,,10.1639998E-6,0.0,,,,,10.1639998E-6,79.999998212E-3,,,,,10.1639998E-6,-4.79999971,
,,,10.1679998E-6,7.999999449E-3,,,,,10.1679998E-6,79.999998212E-3,,,,,10.1679998E-6,-4.39999962,
,,,10.1719997E-6,0.0,,,,,10.1719997E-6,0.0,,,,,10.1719997E-6,-4.59999990,
,,,10.1759997E-6,0.0,,,,,10.1759997E-6,-79.999998212E-3,,,,,10.1759997E-6,-4.59999990,
,,,10.1799997E-6,-7.999999449E-3,,,,,10.1799997E-6,159.99999642E-3,,,,,10.1799997E-6,-4.59999990,
,,,10.1839996E-6,0.0,,,,,10.1839996E-6,-79.999998212E-3,,,,,10.1839996E-6,-4.59999990,
,,,10.1879996E-6,0.0,,,,,10.1879996E-6,0.0,,,,,10.1879996E-6,-4.79999971,
,,,10.1919995E-6,0.0,,,,,10.1919995E-6,79.999998212E-3,,,,,10.1919995E-6,-4.59999990,
,,,10.1959995E-6,0.0,,,,,10.1959995E-6,79.999998212E-3,,,,,10.1959995E-6,-4.39999962,
,,,10.1999995E-6,-7.999999449E-3,,,,,10.1999995E-6,79.999998212E-3,,,,,10.1999995E-6,-4.59999990,
,,,10.2039994E-6,0.0,,,,,10.2039994E-6,79.999998212E-3,,,,,10.2039994E-6,-4.39999962,
,,,10.2079994E-6,7.999999449E-3,,,,,10.2079994E-6,0.0,,,,,10.2079994E-6,-4.79999971,
,,,10.2119993E-6,0.0,,,,,10.2119993E-6,159.99999642E-3,,,,,10.2119993E-6,-4.59999990,
,,,10.2160002E-6,0.0,,,,,10.2160002E-6,79.999998212E-3,,,,,10.2160002E-6,-4.39999962,
,,,10.2200001E-6,0.0,,,,,10.2200001E-6,0.0,,,,,10.2200001E-6,-4.59999990,
,,,10.2240001E-6,0.0,,,,,10.2240001E-6,0.0,,,,,10.2240001E-6,-4.59999990,
,,,10.2280001E-6,0.0,,,,,10.2280001E-6,79.999998212E-3,,,,,10.2280001E-6,-4.59999990,
,,,10.2320000E-6,0.0,,,,,10.2320000E-6,79.999998212E-3,,,,,10.2320000E-6,-4.39999962,
,,,10.2360000E-6,0.0,,,,,10.2360000E-6,79.999998212E-3,,,,,10.2360000E-6,-4.39999962,
,,,10.2399999E-6,-7.999999449E-3,,,,,10.2399999E-6,79.999998212E-3,,,,,10.2399999E-6,-4.79999971,
,,,10.2439999E-6,0.0,,,,,10.2439999E-6,0.0,,,,,10.2439999E-6,-4.79999971,
,,,10.2479999E-6,0.0,,,,,10.2479999E-6,0.0,,,,,10.2479999E-6,-4.39999962,
,,,10.2519998E-6,-7.999999449E-3,,,,,10.2519998E-6,79.999998212E-3,,,,,10.2519998E-6,-4.59999990,
,,,10.2559998E-6,0.0,,,,,10.2559998E-6,0.0,,,,,10.2559998E-6,-4.59999990,
,,,10.2599997E-6,0.0,,,,,10.2599997E-6,-79.999998212E-3,,,,,10.2599997E-6,-4.59999990,
,,,10.2639997E-6,0.0,,,,,10.2639997E-6,159.99999642E-3,,,,,10.2639997E-6,-4.59999990,
,,,10.2679996E-6,7.999999449E-3,,,,,10.2679996E-6,0.0,,,,,10.2679996E-6,-4.59999990,
,,,10.2719996E-6,0.0,,,,,10.2719996E-6,0.0,,,,,10.2719996E-6,-4.59999990,
,,,10.2759996E-6,0.0,,,,,10.2759996E-6,-79.999998212E-3,,,,,10.2759996E-6,-4.39999962,
