Time(s),CHAN1(V),CHAN2(V)
-0.024261,-0.669816,-0.050000
-0.024258,-0.669816,-0.029900
-0.024254,-0.669816,-0.050000
-0.024251,-0.669816,-0.050000
-0.024248,-0.669816,-0.050000
-0.024245,-0.689917,-0.029900
-0.024242,-0.649716,-0.050000
-0.024238,-0.669816,-0.050000
-0.024235,-0.669816,-0.050000
-0.024232,-0.689917,-0.029900
-0.024229,-0.689917,-0.029900
-0.024226,-0.669816,-0.029900
-0.024222,-0.669816,-0.029900
-0.024219,-0.649716,-0.050000
-0.024216,-0.669816,-0.050000
-0.024213,-0.649716,-0.050000
-0.024210,-0.669816,-0.050000
-0.024206,-0.669816,-0.050000
-0.024203,-0.649716,-0.050000
-0.024200,-0.669816,-0.050000
-0.024197,-0.669816,-0.050000
-0.024194,-0.669816,-0.029900
-0.024190,-0.669816,-0.050000
-0.024187,-0.689917,-0.050000
-0.024184,-0.689917,-0.050000
-0.024181,-0.669816,-0.050000
-0.024178,-0.669816,-0.050000
-0.024174,-0.669816,-0.029900
-0.024171,-0.669816,-0.050000
-0.024168,-0.649716,-0.050000
-0.024165,-0.649716,-0.029900
-0.024162,-0.669816,-0.029900
-0.024158,-0.649716,-0.029900
-0.024155,-0.669816,-0.029900
-0.024152,-0.669816,-0.050000
-0.024149,-0.649716,-0.050000
-0.024146,-0.649716,-0.050000
-0.024142,-0.649716,-0.050000
-0.024139,-0.669816,-0.029900
-0.024136,-0.649716,-0.029900
-0.024133,-0.669816,-0.050000
-0.024130,-0.649716,-0.029900
-0.024126,-0.649716,-0.029900
-0.024123,-0.649716,-0.029900
-0.024120,-0.649716,-0.050000
-0.024117,-0.649716,-0.050000
-0.024114,-0.649716,-0.029900
-0.024110,-0.669816,-0.029900
-0.024107,-0.649716,-0.029900
-0.024104,-0.649716,-0.029900
-0.024101,-0.649716,-0.050000
-0.024098,-0.669816,-0.029900
-0.024094,-0.649716,-0.009799
-0.024091,-0.649716,-0.029900
-0.024088,-0.669816,-0.029900
-0.024085,-0.649716,-0.029900
-0.024082,-0.649716,-0.029900
-0.024078,-0.649716,-0.009799
-0.024075,-0.649716,-0.029900
-0.024072,-0.649716,-0.009799
-0.024069,-0.649716,-0.009799
-0.024066,-0.649716,-0.029900
-0.024062,-0.649716,-0.009799
-0.024059,-0.649716,-0.029900
-0.024056,-0.649716,-0.029900
-0.024053,-0.649716,-0.029900
-0.024050,-0.629615,-0.029900
-0.024046,-0.649716,-0.029900
-0.024043,-0.649716,-0.029900
-0.024040,-0.629615,-0.009799
-0.024037,-0.649716,-0.029900
-0.024034,-0.649716,-0.029900
-0.024030,-0.649716,-0.009799
-0.024027,-0.629615,-0.029900
-0.024024,-0.629615,-0.009799
-0.024021,-0.649716,-0.029900
-0.024018,-0.649716,-0.009799
-0.024014,-0.649716,-0.009799
-0.024011,-0.649716,-0.009799
-0.024008,-0.649716,-0.029900
-0.024005,-0.629615,-0.029900
-0.024002,-0.649716,-0.029900
-0.023998,-0.629615,-0.029900
-0.023995,-0.649716,-0.029900
-0.023992,-0.629615,-0.029900
-0.023989,-0.629615,-0.050000
-0.023986,-0.629615,-0.029900
-0.023982,-0.649716,-0.050000
-0.023979,-0.649716,-0.029900
-0.023976,-0.629615,-0.029900
-0.023973,-0.649716,-0.029900
-0.023970,-0.629615,-0.029900
-0.023966,-0.629615,-0.050000
-0.023963,-0.629615,-0.050000
-0.023960,-0.629615,-0.050000
-0.023957,-0.629615,-0.029900
-0.023954,-0.629615,-0.029900
-0.023950,-0.629615,-0.029900
-0.023947,-0.629615,-0.029900
-0.023944,-0.629615,-0.029900
-0.023941,-0.629615,-0.029900
-0.023938,-0.629615,-0.029900
-0.023934,-0.629615,-0.029900
-0.023931,-0.629615,-0.029900
-0.023928,-0.629615,-0.029900
-0.023925,-0.629615,-0.029900
-0.023922,-0.629615,-0.029900
-0.023918,-0.629615,-0.029900
-0.023915,-0.609515,-0.029900
-0.023912,-0.609515,-0.029900
-0.023909,-0.629615,-0.050000
-0.023906,-0.629615,-0.050000
-0.023902,-0.629615,-0.029900
-0.023899,-0.629615,-0.029900
-0.023896,-0.609515,-0.029900
-0.023893,-0.609515,-0.050000
-0.023890,-0.629615,-0.029900
-0.023886,-0.609515,-0.029900
-0.023883,-0.609515,-0.029900
-0.023880,-0.629615,-0.029900
-0.023877,-0.629615,-0.029900
-0.023874,-0.609515,-0.029900
-0.023870,-0.609515,-0.029900
