# Bragg angle (deg)	Intensity (cps)
53.00	10244.5
53.10	10237.5
53.20	10254.1
53.30	10243.9
53.40	10240.7
53.50	10214.8
53.60	10228.1
53.70	10228.6
53.80	10225.1
53.90	10233.1
54.00	10238.2
54.10	10245.0
54.20	10224.8
54.30	10241.3
54.40	10218.0
54.50	10204.2
54.60	10206.6
54.70	10201.1
54.80	10225.9
54.90	10205.2
55.00	10230.3
55.10	10218.1
55.20	10233.2
55.30	10218.8
55.40	10206.6
55.50	10220.7
55.60	10209.4
55.70	10218.8
55.80	10208.6
55.90	10211.5
56.00	10189.6
56.10	10190.7
56.20	10212.2
56.30	10207.8
56.40	10218.5
56.50	10231.6
56.60	10218.5
56.70	10198.1
56.80	10206.7
56.90	10197.8
57.00	10198.2
57.10	10194.1
57.20	10218.3
57.30	10165.2
57.40	10213.2
57.50	10205.0
57.60	10207.6
57.70	10217.7
57.80	10226.2
57.90	10211.4
58.00	10195.3
58.10	10198.6
58.20	10168.3
58.30	10201.8
58.40	10174.8
58.50	10208.8
58.60	10200.9
58.70	10182.3
58.80	10201.5
58.90	10202.4
59.00	10214.1
59.10	10216.1
59.20	10193.5
59.30	10182.2
59.40	10189.5
59.50	10191.6
59.60	10184.7
59.70	10216.1
59.80	10196.6
59.90	10176.9
60.00	10189.3
60.10	10190.0
60.20	10169.4
60.30	10177.0
60.40	10171.6
60.50	10186.5
60.60	10173.0
60.70	10142.0
60.80	10169.6
60.90	10181.0
61.00	10172.3
61.10	10169.8
61.20	10165.0
61.30	10165.8
61.40	10153.8
61.50	10178.5
61.60	10178.0
61.70	10145.4
61.80	10155.7
61.90	10176.9
62.00	10163.1
62.10	10173.1
62.20	10189.8
62.30	10148.5
62.40	10181.4
62.50	10158.7
62.60	10152.8
62.70	10172.0
62.80	10182.6
62.90	10147.8
63.00	10145.9
63.10	10151.0
63.20	10168.5
63.30	10179.8
63.40	10148.7
63.50	10151.4
63.60	10143.5
63.70	10171.9
63.80	10151.0
63.90	10150.0
64.00	10146.3
64.10	10157.5
64.20	10158.1
64.30	10131.4
64.40	10135.4
64.50	10148.9
64.60	10163.4
64.70	10134.9
64.80	10154.3
64.90	10138.1
65.00	10151.5
65.10	10142.1
65.20	10148.2
65.30	10139.1
65.40	10130.0
65.50	10148.1
65.60	10158.6
65.70	10103.3
65.80	10140.0
65.90	10133.4
66.00	10134.5
66.10	10146.9
66.20	10144.6
66.30	10168.9
66.40	10143.6
66.50	10149.7
66.60	10111.9
66.70	10114.7
66.80	10112.6
66.90	10141.3
67.00	10132.2
